Row Labels,Count of Popularity
"Crossover,Diesel",7
Touareg,6
Touareg 2,1
N/A,3742
3,18
5,11
6,15
300,21
500,8
626,11
929,3
6000,8
200SX,6
4Runner,26
500L,13
Accent,6
Acclaim,3
Accord,61
Achieva,5
Aerio,31
Aerostar,12
Alero,24
Altima,14
Amanti,3
Armada,14
Aspen,2
Astro,6
Astro Cargo,6
Aurora,2
Avalon,8
Avenger,1
Aveo,9
Axxess,4
Beetle Convertible,32
Beretta,3
Blazer,14
Bonneville,6
Borrego,9
Bravada,7
Breeze,5
Bronco,9
Bronco II,8
B-Series,13
B-Series Pickup,27
B-Series Truck,11
C/K 1500 Series,56
C/K 2500 Series,8
Cabrio,14
Cabriolet,6
Caliber,16
Camaro,2
Camry,16
Camry Solara,32
Canyon,40
Caprice,7
Caravan,4
Cascada,5
Cavalier,20
Celebrity,2
Century,3
Charger,10
Chevy Van,9
Ciera,3
Cirrus,3
City Express,6
Civic,40
Civic del Sol,6
Classic,2
Cobalt,18
Colorado,38
Colt,25
Concorde,6
Contour,8
Corolla,34
Corsica,2
Cressida,3
Cruze,21
Cruze Limited,9
Cube,10
Custom Cruiser,3
Cutlass,6
Cutlass Calais,16
Cutlass Ciera,12
Cutlass Supreme,7
Dakota,32
Dart,21
Diamante,9
Dynasty,6
E-150,13
E-250,10
ECHO,12
Eclipse Spyder,4
Eighty-Eight,7
Eighty-Eight Royale,10
Elantra,22
Elantra Coupe,8
Electra,4
Entourage,5
Envoy,18
Envoy XL,16
Envoy XUV,4
Eos,7
Equator,23
Escort,9
Estate Wagon,1
Esteem,31
EuroVan,6
Excel,5
Expedition,36
Explorer Sport,18
Explorer Sport Trac,10
F-150,4
F-150 Heritage,20
F-150 SVT Lightning,1
F-250,48
Fiesta,9
Firebird,1
Five Hundred,16
FJ Cruiser,9
Focus,1
Forenza,34
Forte,12
Fox,7
Freestar,14
Frontier,76
Fusion,7
G5,6
G6,9
Galant,6
Golf SportWagen,13
Grand Am,17
Grand Caravan,4
Grand Prix,5
Grand Voyager,5
iA,2
Impala,7
Imperial,3
Impreza,14
Intrepid,7
Intrigue,9
Jetta,35
Jetta SportWagen,24
Jimmy,31
Kizashi,32
Lancer,17
Le Baron,12
Le Mans,9
Legacy,16
LeSabre,6
Loyale,9
LSS,6
LTD Crown Victoria,13
Lumina,5
Lumina Minivan,6
Magnum,11
Malibu,12
Malibu Classic,3
Malibu Limited,4
Metro,3
Mighty Max Pickup,5
Millenia,4
Mirage G4,3
Monaco,6
Montana,17
Montana SV6,2
Monte Carlo,4
Montero,3
Montero Sport,20
MPV,8
Mustang,1
MX-6,3
Navajo,12
Neon,19
New Beetle,14
New Yorker,3
Ninety-Eight,7
NV200,6
Odyssey,15
Optima,9
Pacifica,4
Park Avenue,3
Paseo,4
Passat,38
Passport,20
Pickup,26
Previa,16
Prizm,6
Protege,11
Protege5,2
PT Cruiser,8
Pulsar,1
Quest,12
Raider,15
Rainier,6
Rally Wagon,6
RAM 150,40
RAM 250,25
Ram 50 Pickup,19
Ram Cargo,15
Ram Pickup 1500,14
Ram Van,12
Ram Wagon,5
Ramcharger,22
Ranger,37
Reatta,2
Regency,2
Ridgeline,23
Rio,11
Riviera,4
Roadmaster,9
Rondo,15
Routan,17
S-10,13
S-10 Blazer,31
S-15,19
S-15 Jimmy,18
Safari,6
Safari Cargo,6
Samurai,4
Scoupe,9
Sebring,10
Sedona,15
Sentra,19
Sephia,8
Sequoia,18
Shadow,4
Sidekick,23
Sienna,51
Sierra 1500,34
Sierra 1500 Classic,11
Sierra 1500HD,6
Sierra C3,1
Sierra Classic 1500,4
Sigma,1
Silhouette,15
Silverado 1500,42
Silverado 1500 Classic,12
Skylark,8
Sonata,26
Sonic,21
Sonoma,6
Soul,12
Soul EV,5
Spectra,23
Spirit,4
Sportvan,8
Stanza,7
Stealth,3
Stratus,7
Suburban,6
Sunbird,16
Sunfire,5
SX4,13
T100,15
Tacoma,80
Tahoe Limited/Z71,2
Tempo,11
Tercel,7
Terraza,8
Titan,9
Toronado,6
Tracker,21
TrailBlazer,20
TrailBlazer EXT,12
Trans Sport,7
Transit Connect,46
Truck,38
Tundra,84
Uplander,9
Van,2
Vanagon,11
Vandura,11
Vanwagon,2
Venture,22
Verano,12
Verona,9
Versa,16
Vibe,1
Vitara,16
Voyager,11
Windstar,18
Windstar Cargo,3
X-90,7
xB,10
XG300,2
XG350,6
XL-7,29
XT,3
Xterra,21
Yaris iA,2
Yukon,2
Grand Total,3749
