Popularity,Market Category,Market Category,,,,,,,,,,,,,,,,,,,,,,,,
3916,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,Row Labels,Count of Popularity,Count of Market Category
3916,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,Crossover,1110,1110
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Crossover,Diesel",7,7
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Crossover,Exotic,Luxury,High-Performance",1,1
3916,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,"Crossover,Exotic,Luxury,Performance",1,1
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,"Crossover,Factory Tuner,Luxury,High-Performance",26,26
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,"Crossover,Factory Tuner,Luxury,Performance",5,5
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Crossover,Factory Tuner,Performance",4,4
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,"Crossover,Flex Fuel",64,64
3916,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,"Crossover,Flex Fuel,Luxury",10,10
3916,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,"Crossover,Flex Fuel,Luxury,Performance",6,6
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Crossover,Flex Fuel,Performance",6,6
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Crossover,Hatchback",72,72
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Crossover,Hatchback,Factory Tuner,Performance",6,6
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Crossover,Hatchback,Luxury",7,7
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Crossover,Hatchback,Performance",6,6
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Crossover,Hybrid",42,42
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Crossover,Luxury",410,410
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Crossover,Luxury,Diesel",34,34
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Crossover,Luxury,High-Performance",9,9
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Crossover,Luxury,Hybrid",24,24
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Crossover,Luxury,Performance",113,113
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Crossover,Luxury,Performance,Hybrid",2,2
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Crossover,Performance",69,69
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,Diesel,84,84
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Diesel,Luxury",51,51
819,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,"Exotic,Factory Tuner,High-Performance",21,21
819,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,"Exotic,Factory Tuner,Luxury,High-Performance",52,52
819,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,"Exotic,Factory Tuner,Luxury,Performance",3,3
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance",13,13
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Exotic,Flex Fuel,Luxury,High-Performance",11,11
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Exotic,High-Performance",261,261
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Exotic,Luxury",12,12
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Exotic,Luxury,High-Performance",79,79
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Exotic,Luxury,High-Performance,Hybrid",1,1
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,"Exotic,Luxury,Performance",36,36
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Exotic,Performance",10,10
3916,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,"Factory Tuner,High-Performance",106,106
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,"Factory Tuner,Luxury",2,2
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Factory Tuner,Luxury,High-Performance",215,215
3916,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,"Factory Tuner,Luxury,Performance",31,31
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,"Factory Tuner,Performance",92,92
3916,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,Flex Fuel,872,872
3916,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,"Flex Fuel,Diesel",16,16
3916,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,"Flex Fuel,Factory Tuner,Luxury,High-Performance",1,1
3916,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,"Flex Fuel,Hybrid",2,2
3916,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,"Flex Fuel,Luxury",39,39
3916,"Factory Tuner,Luxury,High-Performance","Factory Tuner,Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,"Flex Fuel,Luxury,High-Performance",33,33
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,"Flex Fuel,Luxury,Performance",28,28
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,"Flex Fuel,Performance",87,87
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,"Flex Fuel,Performance,Hybrid",2,2
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,Hatchback,641,641
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Hatchback,Diesel",14,14
